l_vel X,l_vel Y,l_vel Z,t
-0.1440611481666565,0.14513905346393585,0.14343053102493286,339
-0.14397072792053223,0.14191024005413055,0.14550821483135223,340
-0.1437644213438034,0.13856017589569092,0.135149285197258,341
-0.1422092616558075,0.13444985449314117,0.139413520693779,342
-0.13670051097869873,0.13203974068164825,0.17187528312206268,343
-0.13672809302806854,0.127555713057518,0.13015636801719666,344
-0.1342613399028778,0.12219491600990295,0.09760697931051254,345
-0.12904073297977448,0.1157994344830513,0.08761340379714966,346
-0.1258240044116974,0.11011464148759842,0.06427915394306183,347
-0.11558258533477783,0.10350176692008972,0.07080548256635666,348
-0.10735660791397095,0.09743136167526245,0.05921930447220802,349
-0.09737415611743927,0.09083972871303558,0.04261070862412453,350
-0.0873447060585022,0.08423301577568054,0.021848276257514954,351
-0.07621929049491882,0.07666640728712082,-0.006475198548287153,352
-0.06523191183805466,0.06899107247591019,-0.04393910616636276,353
-0.049619000405073166,0.06123752519488335,-0.06395271420478821,354
-0.03125316649675369,0.05414539575576782,-0.06804383546113968,355
-0.014011676423251629,0.046898003667593,-0.08680307120084763,356
0.006629532668739557,0.04027825966477394,-0.08901228755712509,357
0.022483596578240395,0.03278697654604912,-0.12229206413030624,358
0.044182561337947845,0.02661106549203396,-0.12260463833808899,359
0.05651409924030304,0.019531788304448128,-0.17800262570381165,360
0.07355432212352753,0.012633335776627064,-0.21225503087043762,361
0.09442414343357086,0.006056731566786766,-0.22427162528038025,362
0.11642641574144363,-0.0001232294162036851,-0.22578038275241852,363
0.13433414697647095,-0.0059990487061440945,-0.2542594075202942,364
0.15292802453041077,-0.01209998968988657,-0.2783842086791992,365
0.1739688515663147,-0.017707383260130882,-0.2862795293331146,366
0.19813820719718933,-0.02159673348069191,-0.27945083379745483,367
0.22640757262706757,-0.024193350225687027,-0.24115097522735596,368
0.24518537521362305,-0.025864295661449432,-0.2435465157032013,369
0.26035404205322266,-0.029112206771969795,-0.27011674642562866,370
0.2794725298881531,-0.0309404619038105,-0.25181445479393005,371
0.2974981665611267,-0.030770713463425636,-0.22913232445716858,372
0.30919039249420166,-0.03131254017353058,-0.2297743409872055,373
0.3188820481300354,-0.032059844583272934,-0.2431110143661499,374
0.32523784041404724,-0.03321913257241249,-0.25896957516670227,375
0.3344382643699646,-0.033219072967767715,-0.2351072132587433,376
0.34356799721717834,-0.03046426549553871,-0.1862061768770218,377
0.3481227159500122,-0.02712104469537735,-0.14239735901355743,378
0.34766408801078796,-0.024436715990304947,-0.12850624322891235,379
0.3446606397628784,-0.022266805171966553,-0.10894553363323212,380
0.33897069096565247,-0.019376637414097786,-0.08092353492975235,381
0.3290032148361206,-0.015991531312465668,-0.07193044573068619,382
0.31704792380332947,-0.013047350570559502,-0.05939790979027748,383
0.3021663427352905,-0.009089804254472256,-0.04023141786456108,384
0.2856207489967346,-0.004108947701752186,-0.012903663329780102,385
0.26517733931541443,0.0009577276650816202,0.013120153918862343,386
0.24428918957710266,0.005475165322422981,0.03228217363357544,387
0.22052037715911865,0.01017146185040474,0.04279235377907753,388
0.19577522575855255,0.01579197496175766,0.07689166069030762,389
0.16746821999549866,0.02257520891726017,0.10901125520467758,390
